what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1478364904858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1478364942126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1478364944504
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1478364946186
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1478364958910
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1478364964538
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478364971688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365136755
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365142961
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365170774
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1478365181088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1478365188854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365189692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365212814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1478365222600
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1478365223624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365225558
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365230482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365238081
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365262461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365263928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365267247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365271154
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1478365287076
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1478365287090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365287269
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1478365292238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365293323
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478365296720
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1478365297884
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1478365303611
